episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,selection_value,best_episode,validation_cumulative_return,validation_mdd,validation_sharpe_ratio,validation_sortino_ratio,validation_trade_count,validation_turnover,validation_initial_asset,validation_final_asset,validation_steps,validation_average_holding_days,validation_closed_shares,validation_open_shares
1,1093,838,0.43239347672187917,4.5099444007231585e-05,-0.20811195599999988,0.15791717000000038,1,0.15791717000000038,0.10348812728229329,1.1491362283956257,1.88840620480441,208,90.38828953987786,10000000.0,11579171.700000003,245,3.4248587570621467,7080,103
2,2186,1931,0.14486309656989407,2.2512303320567706e-05,-0.045654472249999634,0.12672934849999873,1,0.12672934849999873,0.08440096171836309,0.9362938017239321,1.4828914676153897,201,90.90178829929881,10000000.0,11267293.484999988,245,3.118369074492099,7088,43
3,3279,3024,0.05,2.3435179567667364e-05,0.5315301642499999,0.15806450950000062,3,0.15806450950000062,0.08546347089733208,1.4008893998539897,2.433235135627806,202,61.89778131649092,10000000.0,11580645.095000006,245,3.91989765794135,5081,44
4,4372,4117,0.05,2.4411614657584745e-05,2.3315219242499996,0.013091215500000919,3,0.013091215500000919,0.1525879854519947,0.16524822445279036,0.27402068949901115,198,91.41325002744637,10000000.0,10130912.155000009,245,2.346834332504752,6839,39
5,5465,5210,0.05,2.4771607460430062e-05,2.6129597247499987,-0.0952618059999999,3,-0.0952618059999999,0.15324494527300447,-1.1906595091210848,-1.6623989401758725,177,73.57506113138538,10000000.0,9047381.940000001,245,2.2782203225179716,5147,92
6,6558,6303,0.05,2.6677280807746385e-05,2.3994118967500015,0.09210385949999988,3,0.09210385949999988,0.08263403594799346,0.7525434867122552,1.2896318469803045,212,83.33727131541698,10000000.0,10921038.594999999,245,3.128421711246676,6393,111
7,7651,7396,0.05,3.062312941029429e-05,4.8154231877500004,0.11115856850000028,3,0.11115856850000028,0.10405658406640206,0.9785006205181245,1.6947849510987076,208,87.51986154062982,10000000.0,11111585.685000002,245,2.273635442304908,6907,85
8,8744,8489,0.05,3.303776599092365e-05,4.066853275749997,0.023223694000000128,3,0.023223694000000128,0.13168702472432514,0.2732997679674119,0.3875197112060588,190,90.58058866674814,10000000.0,10232236.940000001,245,2.291091212627106,6589,78
9,9837,9582,0.05,3.893773384861611e-05,6.0750563459999976,-0.030356970000000705,3,-0.030356970000000705,0.15581874062741918,-0.2745852395711487,-0.41521394592573385,192,90.394649018955,10000000.0,9696430.299999993,245,2.052103903995139,6583,12
10,10930,10675,0.05,3.841729096818464e-05,6.209400889249997,0.14914420249999982,3,0.14914420249999982,0.08442012204645766,1.0689744763506377,1.8187887810932275,192,74.56305466063148,10000000.0,11491442.024999999,245,3.8415926179084074,5852,44
11,12023,11768,0.05,3.670629205189903e-05,7.801185357999996,0.10975191200000034,3,0.10975191200000034,0.10151260410366214,0.9740819811065512,1.5780841665257868,213,85.85848879370695,10000000.0,11097519.120000003,245,2.576818593419861,6626,42
12,13116,12861,0.05,3.599826046055038e-05,8.938006977000002,0.06299306849999908,3,0.06299306849999908,0.14971970123445855,0.4742901531906376,0.7755169502985024,180,112.86822172680787,10000000.0,10629930.684999991,245,2.1292073832790446,8289,135
