episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,selection_value,best_episode,validation_cumulative_return,validation_mdd,validation_sharpe_ratio,validation_sortino_ratio,validation_trade_count,validation_turnover,validation_initial_asset,validation_final_asset,validation_steps,validation_average_holding_days,validation_closed_shares,validation_open_shares
1,1093,838,0.43239347672187917,1.9258539313621327e-05,-0.3157953935000015,0.3005701614999994,1,0.3005701614999994,0.09374807116767847,1.7948514137227067,3.382537068888526,148,88.84922413987188,10000000.0,13005701.614999993,245,3.2927592954990215,7665,165
2,2186,1931,0.14486309656989407,2.2258432509277825e-05,0.7117264464999966,0.08726837799999942,1,0.08726837799999942,0.10205411281971066,0.6702052988580607,1.1759309430434448,151,89.8229426501988,10000000.0,10872683.779999994,245,2.576486860304288,7230,0
3,3279,3024,0.04853291707107899,2.4988489344371832e-05,2.3470334812499996,-0.03859242050000089,1,-0.03859242050000089,0.09234592882863302,-0.5779301685454615,-0.7989183721141314,86,51.795947920507786,10000000.0,9614075.79499999,245,1.394076840981857,3748,0
4,4372,4117,0.03,2.651064811040993e-05,7.822502884249998,0.19207757650000024,1,0.19207757650000024,0.0671137779340979,1.4201792773525064,2.8578233202788565,144,107.71577554907792,10000000.0,11920775.765000002,245,1.6777084515031198,8815,0
5,5465,5210,0.03,2.508302585041945e-05,12.720666150250002,0.0966441125000006,1,0.0966441125000006,0.12186104207931181,0.7666897764468386,1.126118203245486,161,111.68579468357515,10000000.0,10966441.125000006,245,2.1653141664734523,8626,139
6,6558,6303,0.03,2.3418526770436528e-05,23.342664011999982,0.035845492500000686,1,0.035845492500000686,0.08202777936236483,0.39528732805384925,0.6001833913083193,134,100.61955572774428,10000000.0,10358454.925000006,245,1.7213468013468014,7425,0
7,7651,7396,0.03,2.4378063534502152e-05,32.71000612599999,0.10100897549999943,1,0.10100897549999943,0.07782943203313908,0.8055185942954114,1.3638560039013972,154,101.62235788713463,10000000.0,11010089.754999993,245,2.2477064220183487,7521,0
8,8744,8489,0.03,2.4449245660732722e-05,39.27314581249997,-0.009888695000000114,1,-0.009888695000000114,0.09276717679656521,-0.04201821707517607,-0.05770454295472106,134,99.62235350567664,10000000.0,9901113.049999999,245,1.7946340778199186,7119,0
9,9837,9582,0.03,3.0211341218898693e-05,46.30026052725001,-0.006224256500000469,1,-0.006224256500000469,0.154665094911971,0.018086252668727595,0.02735107643958285,147,95.24407871540403,10000000.0,9937757.434999995,245,2.596244131455399,7029,63
10,10930,10675,0.03,2.9309502883380595e-05,52.561601464750005,0.0075799494999992945,1,0.0075799494999992945,0.0824742281151567,0.12715589466503954,0.18177855495210993,134,112.061844690724,10000000.0,10075799.494999994,245,1.5116016555876082,7973,64
11,12023,11768,0.03,2.795764998377487e-05,73.96656621675002,0.04818363700000039,1,0.04818363700000039,0.09061760299385724,0.4073417150746341,0.6200288347022985,130,106.12992747192574,10000000.0,10481836.370000003,245,2.4334619693763226,8033,67
12,13116,12861,0.03,2.762627514109342e-05,76.96072642600006,0.10738417050000071,1,0.10738417050000071,0.1329802623732922,0.8387032995992079,1.337147737990202,133,111.0619372901136,10000000.0,11073841.705000008,245,2.1180387409200967,8260,70
