best_episode,agent_validation_return,agent_validation_sharpe,agent_validation_mdd,agent_validation_turnover,validation_return_std,bh_validation_return,bh_validation_mdd,bh_validation_turnover,agent_test_return,agent_test_sharpe,agent_test_mdd,agent_test_turnover,bh_test_return,bh_test_sharpe,bh_test_mdd,bh_test_turnover,experiment,seed,fold,validation_start,validation_end,run_dir
77,0.2727822825000001,1.5195571904272036,0.0925691929218363,95.7780621063799,0.08657407850784242,0.41385015,0.10075260760720761,0.999,-0.2029648634999996,-0.144861156654446,0.4547348026901396,174.89045347918568,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험28_hidden-256-multiseed,1,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-1_val2023
64,0.1065476110000003,0.6961339304490156,0.1239475842134323,68.70569369427113,0.10614852668566557,-0.3176489710000001,0.4290804340250082,0.99314,-0.0850795604999996,-0.0489129751033114,0.2416967483600262,67.63912106023112,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험28_hidden-256-multiseed,1,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-1_val2024
99,1.1304955235000005,2.656497338986215,0.1419874959938246,41.98809004355259,0.2572837708022332,1.2699305955,0.14644820702986427,0.99603,0.5769835249999997,1.4422138647278844,0.3076095830696491,15.229636470114992,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험28_hidden-256-multiseed,1,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-1_val2025
22,0.3986654764999997,1.814336878857304,0.1178880814600281,40.88824613034782,0.12360429664085713,0.41385015,0.10075260760720761,0.999,0.4399371770000002,0.5921946546838326,0.425336397881691,139.63238812622964,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험28_hidden-256-multiseed,7,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-7_val2023
31,0.0812999935000007,0.5276569204301476,0.1005812533216924,83.6921946090664,0.08957346536365106,-0.3176489710000001,0.4290804340250082,0.99314,1.2481914390000006,1.199207921039612,0.4572345549712866,103.12325680497358,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험28_hidden-256-multiseed,7,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-7_val2024
29,1.0357603450000004,2.555810705944819,0.1463862426786237,44.86014260963154,0.2391940417354679,1.2699305955,0.14644820702986427,0.99603,0.9736812084999996,1.6723183658625087,0.4128717626661478,9.950166003351129,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험28_hidden-256-multiseed,7,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-7_val2025
95,0.2892589449999998,1.4442176088279195,0.1177638479229594,47.87700268572606,0.10058225657934192,0.41385015,0.10075260760720761,0.999,0.545279153999999,0.6689668483203646,0.3887001531452163,121.4153702195282,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험28_hidden-256-multiseed,21,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-21_val2023
28,0.0654248840000006,0.5599043716526553,0.0698374935,65.78644013164026,0.11259822070502316,-0.3176489710000001,0.4290804340250082,0.99314,-0.1270727840000003,-0.2577419682387572,0.3102626889999974,97.51470661734288,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험28_hidden-256-multiseed,21,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-21_val2024
34,1.1099903589999998,2.910174683739872,0.1276905555782354,71.86644164054005,0.2520967602981609,1.2699305955,0.14644820702986427,0.99603,0.6547311469999992,1.35303936890936,0.3640346391870329,20.87624949830342,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험28_hidden-256-multiseed,21,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-21_val2025
89,0.3926437739999999,1.7487845290164117,0.1010285660060966,22.961744068507635,0.11179328257228419,0.41385015,0.10075260760720761,0.999,0.2668118629999996,0.4638504418622635,0.3583834272807803,151.63010640742635,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험28_hidden-256-multiseed,42,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험28_hidden-256-multiseed/seed-42_val2023
