variant_label,fold,best_episode,agent_val_return,bh_val_return,agent_minus_bh_val,agent_test_return,bh_test_return,agent_minus_bh_test
실험2기반,val2023,5,0.3399506009999995,0.41385015,-0.07389954900000051,0.4540132459999992,2.302361029,-1.8483477830000008
실험2기반,val2024,96,0.0388280504999998,-0.3176489710000001,0.35647702149999994,2.6630408620000003,3.9083705955,-1.2453297334999998
실험2기반,val2025,9,1.000142596,1.2699305955,-0.2697879994999999,0.107978284,1.1560403509999997,-1.0480620669999996
실험12기반,val2023,21,0.4017511410000003,0.41385015,-0.012099008999999716,0.8195356254999995,2.302361029,-1.4828254035000006
실험12기반,val2024,3,-0.0607830815000005,-0.3176489710000001,0.2568658894999996,1.590594102499999,3.9083705955,-2.317776493000001
실험12기반,val2025,32,0.9426938394999996,1.2699305955,-0.32723675600000035,0.7774951650000006,1.1560403509999997,-0.3785451859999991
