best_episode,agent_validation_return,agent_validation_sharpe,agent_validation_mdd,agent_validation_turnover,validation_return_std,bh_validation_return,bh_validation_mdd,bh_validation_turnover,agent_test_return,agent_test_sharpe,agent_test_mdd,agent_test_turnover,bh_test_return,bh_test_sharpe,bh_test_mdd,bh_test_turnover,experiment,hidden_dim,fold,validation_start,validation_end,run_dir
30,0.3255493479999998,1.6356465022417823,0.0957552579598959,70.84590154601625,0.10636248734942993,0.41385015,0.10075260760720761,0.999,-0.159972153499999,-0.0339304187133687,0.5028116107466343,228.5924327928281,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험26_hidden-64,64,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험26_hidden-64/val2023
1,0.0432378805000002,0.3817393605909147,0.1000228389999996,70.76295087499673,0.09286288321890177,-0.3176489710000001,0.4290804340250082,0.99314,1.7112651459999988,1.7908499817090466,0.2073970919427643,118.55149430086011,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험26_hidden-64,64,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험26_hidden-64/val2024
37,1.1414120965000003,2.654899346503884,0.131114969668182,40.87189552760735,0.2772279638684569,1.2699305955,0.14644820702986427,0.99603,1.0528085754999994,1.7484363093780275,0.4197262375418638,47.81486933095228,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험26_hidden-64,64,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험26_hidden-64/val2025
