best_episode,agent_validation_return,agent_validation_sharpe,agent_validation_mdd,agent_validation_turnover,validation_return_std,bh_validation_return,bh_validation_mdd,bh_validation_turnover,agent_test_return,agent_test_sharpe,agent_test_mdd,agent_test_turnover,bh_test_return,bh_test_sharpe,bh_test_mdd,bh_test_turnover,experiment,gamma,fold,validation_start,validation_end,run_dir,validation_excess_return,test_excess_return
8,0.2657179624999997,1.546600997965246,0.0728552046977826,100.75323633794191,0.09092343848605415,0.41385015,0.10075260760720761,0.999,0.3385764215000009,0.5071702676146704,0.4258253774781633,240.79593078986665,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험17_gamma-0p95,0.95,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험17_gamma-0p95/val2023,-0.14813218750000035,-1.9637846074999992
32,-0.1254471449999997,-0.7668443327086893,0.170367314364118,92.55440253219618,0.072245174738141,-0.3176489710000001,0.4290804340250082,0.99314,0.5124633539999994,0.9128807373765602,0.1804908421297314,124.41993907256698,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험17_gamma-0p95,0.95,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험17_gamma-0p95/val2024,0.1922018260000004,-3.3959072415000007
26,0.798942475500001,2.4843331689486576,0.1182469077867013,93.72075501709374,0.18652025301344624,1.2699305955,0.14644820702986427,0.99603,0.1401547730000008,0.6167744603041873,0.4934415410640899,62.45148619178613,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험17_gamma-0p95,0.95,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험17_gamma-0p95/val2025,-0.470988119999999,-1.015885577999999
