episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,validation_return,validation_mdd,selection_value,best_episode
1,1093,838,0.43239347672187917,0.004893827836667154,-0.41115450200000125,0.18158636449999954,0.09660842335862907,0.18158636449999954,1
2,2186,1931,0.14486309656989407,0.005252246012568664,0.7133727934999996,0.0438382625,0.07555334491580301,0.0438382625,1
3,3279,3024,0.05,0.005559805422562898,3.4286060739999966,0.2185527384999999,0.08961206923356335,0.2185527384999999,3
4,4372,4117,0.05,0.005759670820482559,6.931221181000003,-0.035452545499999766,0.19692467019440407,-0.035452545499999766,3
5,5465,5210,0.05,0.005485352114897838,13.263374296999997,-0.03684516750000155,0.21711950045819084,-0.03684516750000155,3
6,6558,6303,0.05,0.005490755127429321,15.06712406525001,-0.05600763100000039,0.1892125865555776,-0.05600763100000039,3
7,7651,7396,0.05,0.005582142163712228,21.537974251499985,-0.03248059250000013,0.18014571749156194,-0.03248059250000013,3
8,8744,8489,0.05,0.005738592244793762,22.68356132325,-0.0818935735000007,0.17961357915990595,-0.0818935735000007,3
9,9837,9582,0.05,0.006420720260409674,34.538340758250044,0.08018630500000024,0.16560829460134596,0.08018630500000024,3
10,10930,10675,0.05,0.006468887207390569,25.06683085875,0.05361861750000041,0.15429957255999094,0.05361861750000041,3
11,12023,11768,0.05,0.006414274183636205,34.61365247350003,-0.07284051250000023,0.20761683644667173,-0.07284051250000023,3
12,13116,12861,0.05,0.006421073261062186,34.669270769750014,0.03194864749999904,0.121295269076936,0.03194864749999904,3
13,14209,13954,0.05,0.0065697220084662165,46.858996499999975,0.006897004500000303,0.20260045716524933,0.006897004500000303,3
14,15302,15047,0.05,0.006943333099876536,51.65501943000001,0.010971695000000281,0.1829524576364434,0.010971695000000281,3
15,16395,16140,0.05,0.0070204987160415,45.79897752600001,0.11970503749999994,0.11958827035882702,0.11970503749999994,3
16,17488,17233,0.05,0.007153243500882485,56.73680437349999,0.12476160699999994,0.08873963930708395,0.12476160699999994,3
17,18581,18326,0.05,0.007338082086812954,56.582494232500025,0.02346529350000104,0.12505633996561516,0.02346529350000104,3
18,19674,19419,0.05,0.007173008794793203,56.758899587999984,-0.22366280250000037,0.28111658412645313,-0.22366280250000037,3
19,20767,20512,0.05,0.007563753444011249,46.65458513649998,-0.00874446500000059,0.11530756121501162,-0.00874446500000059,3
20,21860,21605,0.05,0.008270204039111611,43.57146377325001,-0.03973973150000054,0.12337456746896913,-0.03973973150000054,3
21,22953,22698,0.05,0.007936418606505166,43.16766662024997,0.0336259510000001,0.12665865322182235,0.0336259510000001,3
22,24046,23791,0.05,0.007937567012873627,36.85890557749996,-0.036711268500000616,0.1937938941479146,-0.036711268500000616,3
23,25139,24884,0.05,0.007936124341802677,37.85413075674998,-0.12614757050000058,0.2385785565820373,-0.12614757050000058,3
24,26232,25977,0.05,0.008117529745524696,33.34480574300001,0.16074566199999984,0.10596003421061351,0.16074566199999984,3
25,27325,27070,0.05,0.008598789155622987,24.704097138,0.05947054300000043,0.14681122809352465,0.05947054300000043,3
26,28418,28163,0.05,0.008688305463720273,32.27653280724998,-0.16140204149999982,0.23440737473820716,-0.16140204149999982,3
27,29511,29256,0.05,0.008827666182425436,32.656970769000004,-0.038400895500000365,0.1491476504164524,-0.038400895500000365,3
28,30604,30349,0.05,0.008714558978029079,21.40975096525001,-0.11800056300000006,0.2126216807651643,-0.11800056300000006,3
