best_episode,agent_validation_return,agent_validation_sharpe,agent_validation_mdd,agent_validation_turnover,validation_return_std,bh_validation_return,bh_validation_mdd,bh_validation_turnover,agent_test_return,agent_test_sharpe,agent_test_mdd,agent_test_turnover,bh_test_return,bh_test_sharpe,bh_test_mdd,bh_test_turnover,experiment,batch_size,fold,validation_start,validation_end,run_dir
26,0.3746357679999994,1.994794937147142,0.0875466921761094,96.73723752681906,0.0870707488682733,0.41385015,0.10075260760720761,0.999,-0.1114299949999991,0.0327271677312167,0.5271394790052176,231.58632063719463,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험20_batch-32,32,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험20_batch-32/val2023
89,0.0593137865000001,0.4524100923123597,0.1826873149913072,67.7160207898662,0.11617134368890168,-0.3176489710000001,0.4290804340250082,0.99314,-0.1142987190000005,-0.1752789512795901,0.3797419956289639,100.50346791048436,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험20_batch-32,32,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험20_batch-32/val2024
96,1.5430739670000002,3.1390998378713135,0.142043048760295,34.94112749733024,0.27939483519984065,1.2699305955,0.14644820702986427,0.99603,1.239539555,1.8102385301440724,0.4279888237084313,4.981959236849788,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험20_batch-32,32,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험20_batch-32/val2025
