best_episode,agent_validation_return,agent_validation_sharpe,agent_validation_mdd,agent_validation_turnover,validation_return_std,bh_validation_return,bh_validation_mdd,bh_validation_turnover,agent_test_return,agent_test_sharpe,agent_test_mdd,agent_test_turnover,bh_test_return,bh_test_sharpe,bh_test_mdd,bh_test_turnover,experiment,hidden_dim,fold,validation_start,validation_end,run_dir
89,0.3926437739999999,1.7487845290164117,0.1010285660060966,22.961744068507635,0.11179328257228419,0.41385015,0.10075260760720761,0.999,0.2668118629999996,0.4638504418622635,0.3583834272807803,151.63010640742635,2.302361029,1.1324118659048563,0.4290804340250082,0.99314,실험27_hidden-256,256,val2023,2023-01-01,2024-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험27_hidden-256/val2023
73,0.0910628420000005,0.8153825895005475,0.0676215738850229,64.76706927118344,0.10472953672368845,-0.3176489710000001,0.4290804340250082,0.99314,2.342617661499999,1.618613231933417,0.4180142856511685,75.75938306251375,3.9083705955,1.885264369882233,0.4287264381973351,0.99603,실험27_hidden-256,256,val2024,2024-01-01,2025-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험27_hidden-256/val2024
67,1.0992646705000002,2.793864223621418,0.1466381435523017,55.85194658901834,0.2687245779597815,1.2699305955,0.14644820702986427,0.99603,1.177228906,1.7571980973328565,0.4351740049049941,15.91201295587478,1.1560403509999997,1.736281044265618,0.4286534602292425,0.99766,실험27_hidden-256,256,val2025,2025-01-01,2026-01-01,/Users/hawnwoongku/Desktop/auto_trading/backend/results/실험27_hidden-256/val2025
