episode,environment_steps,learning_steps,epsilon,mean_loss,train_return,validation_return,validation_mdd,selection_value,best_episode
1,1093,838,0.43239347672187917,3.9390642131841265e-05,-0.2879812200000006,0.280048498,0.08172988359782418,0.280048498,1
2,2186,1931,0.14486309656989407,4.332462428688915e-05,0.8485614834999975,0.09336855250000009,0.11443365670349614,0.09336855250000009,1
3,3279,3024,0.05,5.377999779234927e-05,2.259468202750001,0.10268935799999968,0.11693513137598166,0.10268935799999968,1
4,4372,4117,0.05,5.765116395848319e-05,7.604145176750002,-0.11831761849999989,0.222042031570444,-0.11831761849999989,1
5,5465,5210,0.05,5.266169982203081e-05,16.510006232249996,0.01985857299999938,0.19172440693847104,0.01985857299999938,1
6,6558,6303,0.05,5.960213187481397e-05,14.095737842750014,-0.14790129749999958,0.23866859137151497,-0.14790129749999958,1
7,7651,7396,0.05,5.1773729808506604e-05,32.333152146249994,0.10921969199999992,0.08364243120868309,0.10921969199999992,1
8,8744,8489,0.05,5.1819931858103966e-05,43.83328225299995,-0.03991759100000036,0.16820228443787888,-0.03991759100000036,1
9,9837,9582,0.05,6.206073250984702e-05,42.80624813825003,-0.04177182349999975,0.17214711674143413,-0.04177182349999975,1
10,10930,10675,0.05,5.7287298021275696e-05,57.08376784199999,-0.0442318670000007,0.1336235263305372,-0.0442318670000007,1
11,12023,11768,0.05,5.749924834910045e-05,74.16417041449999,-0.050468114499998995,0.16148065264288414,-0.050468114499998995,1
12,13116,12861,0.05,5.3696945767971055e-05,77.93574998975001,0.09345542950000074,0.07458186684084711,0.09345542950000074,1
13,14209,13954,0.05,5.679682381879965e-05,87.04826560675,0.02929762700000005,0.14101223579826394,0.02929762700000005,1
14,15302,15047,0.05,6.684736135758668e-05,93.70494053550004,0.060395427000000446,0.12625426466235767,0.060395427000000446,1
15,16395,16140,0.05,6.562389048380606e-05,84.14530353950002,-0.05173594750000032,0.11929592317452775,-0.05173594750000032,1
16,17488,17233,0.05,6.437037756547064e-05,80.74436215900005,-0.012917723000000048,0.12365656151345727,-0.012917723000000048,1
